,tconst,startYear,runtimeMinutes,genres,title
16788,tt0349416,2004,91,"Comedy,Drama",Folles funérailles
16789,tt0349467,2006,113,"Crime,Drama,Mystery",La couleur du crime
16790,tt0349471,1993,84,Adult,La veuve de Buda-Fesse
16791,tt0349642,2002,110,"Comedy,Documentary",Jamel... en vrai!
16792,tt0349682,2003,55,"Drama,War",Kiki et Tiger
16793,tt0349683,2004,126,"Action,Adventure,Drama",Le roi Arthur
16794,tt0349691,2004,105,Drama,Souvenir du front
16795,tt0349710,2004,115,"Action,Drama,Thriller",Piège de feu
16796,tt0349758,1997,47,Romance,Luis et Margot
16797,tt0349825,2004,135,"Biography,Drama,History",Miracle
16798,tt0349865,2004,95,Drama,Et la nuit chante
16799,tt0349878,2005,208,"Biography,Drama,History","Bose, le heros oublié"
16800,tt0349889,2004,96,"Action,Adventure,Drama",Incontrôlable
16802,tt0349903,2004,125,"Crime,Thriller",Ocean's Twelve
16804,tt0349995,2002,90,"Biography,Drama,Romance",L'âme en jeu
16805,tt0350028,2004,119,"Comedy,Drama,Romance",Fashion maman
16806,tt0350193,2003,109,"Drama,Romance",Ne dis rien
16807,tt0350258,2004,152,"Biography,Drama,Music",Ray
16808,tt0350261,2005,108,"Drama,Family,Romance",Une vie inachevée
16810,tt0350640,1992,55,Documentary,Bonjour Monsieur Doisneau ou Le photographe arrosé
16811,tt0350703,2002,48,"Comedy,Drama",La chatte andalouse
16812,tt0350774,2004,88,"Comedy,Fantasy,Horror",Dead & Breakfast
16814,tt0350887,2003,57,Documentary,En direct de Palestine
16815,tt0351172,2002,85,"Comedy,Drama",Réveille-toi et reste éveillé
16816,tt0351238,2003,105,Drama,Au feu!
16818,tt0351283,2005,86,"Adventure,Animation,Comedy",Madagascar
16819,tt0351299,2003,92,"Crime,Drama",Blind Shaft
16820,tt0351307,2003,49,Documentary,Maudit soit l'exil
16821,tt0351348,1980,90,"Documentary,Family",Tant qu'il y aura des enfants il y aura des clowns
16822,tt0351369,2002,59,"Comedy,Drama,Music",Mods
16823,tt0351461,2003,93,"Comedy,Drama",Noi l'albinos
16825,tt0351589,2003,55,Documentary,Printemps à la source
16826,tt0351685,2002,89,Documentary,Le rêve plus fort que la mort
16827,tt0351741,2003,93,Drama,Le silence de la forêt
16828,tt0351770,2003,92,"Drama,Romance",Son frère
16829,tt0351795,2003,105,"Action,Comedy,Crime",Super ripoux
16831,tt0351817,2002,129,"Drama,Romance",Le samouraï du crépuscule
16832,tt0351859,2003,98,Documentary,Touchez pas au Malang
16833,tt0351887,2003,107,"Action,Comedy,Horror",The Twins Effect
16835,tt0351962,1986,90,Adult,Pour la première fois mieux vaut faire ça par-derrière
16836,tt0351977,2004,86,"Action,Crime",Tolérance zéro
16837,tt0352248,2005,144,"Biography,Drama,Romance",De l'ombre à la lumière
16838,tt0352277,2004,125,"Biography,Drama,Music",De-Lovely
16839,tt0352332,2003,105,Drama,La face cachée de la lune
16840,tt0352343,2003,106,"Drama,Romance",La fenêtre d'en face
16841,tt0352375,2003,84,Comedy,Going Down
16842,tt0352376,2003,109,"Action,Comedy,Crime",Gomez & Tavarès
16843,tt0352520,2004,122,"Biography,Comedy,Drama","Moi, Peter Sellers"
16845,tt0352531,2002,121,"Action,Adventure,Drama",Le perdant ramasse tout
16846,tt0352599,1984,91,"Action,Crime,Drama",Mujeres salvajes
16847,tt0352925,2002,83,"Action,Comedy,Musical",Tongan Ninja - La fureur des îles
16848,tt0352994,2004,103,"Drama,Mystery,Thriller",Tu marcheras sur l'eau
16849,tt0353012,2003,94,"Drama,Mystery,Thriller",Une femme aux abois
16850,tt0353014,2003,86,"Action,Adventure,Animation",Wonderful Days
16851,tt0353194,1999,45,Documentary,L'arbre à palabres
16852,tt0353243,2003,96,Comedy,Le bison
16854,tt0353268,2002,95,Documentary,Les camions de l'imaginaire
16856,tt0353357,2006,109,"Action,Adventure,Crime",Jour de colère
16857,tt0353400,2003,121,Drama,"Léo, en jouant 'Dans la compagnie des hommes'"
16858,tt0353405,2001,52,Documentary,Les enfants courage
16859,tt0353489,2004,94,"Horror,Thriller",Ginger Snaps - Résurrection
16860,tt0353546,1997,97,Comedy,All Access
16861,tt0353552,1999,52,Documentary,Il naît de sources
16862,tt0353585,1991,108,"Documentary,Music",Jordi Savall dirige la Capella Reial
16863,tt0353667,2006,112,"Drama,Romance",Désir d'amour
16864,tt0353671,2003,105,Drama,L'été dans la vallée d'or
16865,tt0353679,1999,45,Documentary,Luciano Emmer
16866,tt0353682,2001,52,Documentary,Les lumières de la Toussaint
16867,tt0353818,2003,101,"Comedy,Crime,Drama",L'amant Bulgare
16869,tt0353852,2002,52,Documentary,Pacifico
16870,tt0353969,2003,131,"Crime,Drama,Mystery",Memories of Murder
16871,tt0354040,1998,52,Documentary,Le souffle du facteur
16872,tt0354116,2001,52,Documentary,Ton village à toi
16873,tt0354170,2001,47,"Drama,Romance",La vie sans Vincent
16874,tt0354216,2002,90,"Horror,Thriller",The Wisher
16875,tt0354249,2000,52,Documentary,L'école du soir
16876,tt0354356,2004,90,"Drama,Romance",Cinq fois deux
16879,tt0354448,2003,100,"Drama,Mystery,Thriller",Cette femme-là
16880,tt0354490,2003,94,"Drama,Mystery",Dancing
16882,tt0354575,2003,90,Documentary,Five Obstructions
16883,tt0354594,2002,80,"Documentary,Sport",Le match de leur vie: La Corée du Nord au mondial 1966
16884,tt0354595,2005,101,"Drama,History,Sport",Le match de leur vie
16885,tt0354668,2003,118,"Comedy,Crime,Drama",Save the Green Planet!
16886,tt0354766,2004,88,"Action,Crime,Drama",Never Die Alone
16887,tt0354808,2003,91,Drama,La petite prairie aux bouleaux
16888,tt0354836,2004,95,"Comedy,Music",Podium
16889,tt0354838,2003,55,Documentary,Pola à 27 ans
16890,tt0354848,2004,93,Drama,Process
16891,tt0354855,2003,95,Comedy,Père et fils
16892,tt0354862,2001,90,"Documentary,Music",Ravi Shankar: Between Two Worlds
16893,tt0354899,2006,105,"Comedy,Drama,Fantasy",La science des rêves
16894,tt0354953,2003,93,Comedy,Les amateurs
16898,tt0355008,1982,78,"Adult,Adventure,Comedy","Viens, j'ai pas de culotte"
