,tconst,startYear,runtimeMinutes,genres,title
208,tt0080745,1980,111,"['Action', 'Adventure', 'Sci-Fi']",Flash Gordon
209,tt0080749,1980,89,"['Horror', 'Thriller']",Fog
210,tt0080750,1980,111,"['Comedy', 'Romance', 'Sport']",Mister gaffes
211,tt0080752,1980,74,"['Comedy', 'Fantasy', 'Musical']",Forbidden Zone
212,tt0080754,1980,117,"['Crime', 'Thriller']",La formule
213,tt0080756,1980,106,['Drama'],"Ça plane, les filles!"
214,tt0080761,1980,95,"['Horror', 'Mystery', 'Thriller']",Vendredi 13
215,tt0080764,1980,89,['Horror'],Baiser macabre
216,tt0080765,1981,93,['Drama'],Le trio pervers
217,tt0080766,1980,90,"['Action', 'Crime']",Big game: La chasse aux noirs
218,tt0080768,1980,156,"['Adventure', 'Drama', 'Horror']",Virus
219,tt0080771,1980,95,"['Comedy', 'Sci-Fi']",Galaxina
220,tt0080774,1981,92,['Drama'],Deux nuits de plaisir
221,tt0080787,1982,96,"['Horror', 'Thriller']",La danse des esprits
222,tt0080793,1980,95,['Drama'],Girls
223,tt0080798,1980,123,"['Crime', 'Drama', 'Thriller']",Gloria
224,tt0080801,1980,109,"['Adventure', 'Comedy']",Les dieux sont tombés sur la tête
225,tt0080802,1980,86,"['Drama', 'Horror']",Les yeux du mal
226,tt0080813,1980,103,['Music'],La Grande Escroquerie du rock'n'roll
227,tt0080822,1980,94,['Comedy'],Deux Suédoises à Paris
228,tt0080827,1980,102,"['Action', 'Comedy', 'Fantasy']",L'exorciste chinois
229,tt0080828,1989,100,"['Action', 'Comedy', 'Horror']",L'exorciste chinois 2
230,tt0080830,1980,90,['Drama'],Guns
231,tt0080836,1980,97,['Sci-Fi'],Space Connection
232,tt0080842,1980,95,"['Drama', 'Fantasy', 'Horror']",Harlequin
233,tt0080846,1980,90,"['Adventure', 'Fantasy']",Voltan le barbare
234,tt0080847,1981,94,['Comedy'],Y-a-t-il un fantôme dans mon lit ?
235,tt0080850,1980,94,"['Horror', 'Thriller']",Noces sanglantes
236,tt0080851,1980,86,['Drama'],Fatale attraction
237,tt0080853,1980,99,"['Drama', 'Horror', 'Thriller']",Le corbillard
238,tt0080854,1980,110,['Drama'],Heart Beat
239,tt0080855,1980,219,"['Adventure', 'Drama', 'Western']",La porte du paradis
240,tt0080861,1980,100,"['Adventure', 'Comedy', 'Family']",La coccinelle à Mexico
241,tt0080863,1980,98,"['Comedy', 'Romance']",Captain Avenger
242,tt0080868,1980,92,['Drama'],L'impossible témoin
243,tt0080874,1980,95,['Drama'],Histoire d'Adrien
244,tt0080880,1980,95,['Comedy'],Les Motos sauvages
245,tt0080888,1980,119,"['Drama', 'Music', 'Romance']",Show Bus
246,tt0080889,1980,106,"['Adventure', 'Comedy']",Jeux d'espions
247,tt0080895,1980,105,"['Comedy', 'Crime']",Les nanas jouent et gagnent
248,tt0080899,1981,86,['Drama'],Plein sud
249,tt0080904,1980,80,"['Horror', 'Sci-Fi']",Les monstres de la mer
250,tt0080905,1980,95,"['Action', 'Drama']",Le Poing mortel du dragon
251,tt0080907,1980,97,"['Action', 'Biography', 'Comedy']",Le Chasseur
252,tt0080910,1980,157,"['Drama', 'Fantasy', 'History']",L'âge de la Terre
253,tt0080913,1980,117,"['Biography', 'Drama', 'Music']",Le temps du rock'n'roll
254,tt0080916,1980,90,"['Drama', 'Romance']",L'immorale
255,tt0080917,1980,97,['Comedy'],La Bible ne fait pas le moine
256,tt0080923,1980,106,['Horror'],Inferno
257,tt0080928,1980,113,"['Comedy', 'Drama', 'Romance']",Rendez-vous chez Max's
258,tt0080929,1980,100,"['Comedy', 'Crime']",Inspecteur la Bavure
259,tt0080931,1980,92,"['Horror', 'Sci-Fi', 'Thriller']",L'invasion des zombies
260,tt0080934,1980,109,"['Action', 'Adventure', 'Drama']",L'île sanglante
261,tt0080936,1980,91,"['Comedy', 'Drama']",C'est ma chance
